Framenum, Queue Density, Dynamic Density
1967, 0.0212161, 0.0174933
1970, 0.0166821, 0.0183358
1973, 0.0163647, 0.015193
1976, 0.0150049, 0.0181163
1979, 0.0174619, 0.0186846
1982, 0.0180536, 0.0150323
1985, 0.0189393, 0.0177049
1988, 0.0192253, 0.0207576
1991, 0.0192684, 0.0157337
1994, 0.0190412, 0.0168859
1997, 0.0197191, 0.0195232
2000, 0.0242844, 0.0359035
2003, 0.0542354, 0.0504303
2006, 0.0894609, 0.0690365
2009, 0.088732, 0.089602
2012, 0.0879757, 0.12547
2015, 0.104893, 0.151209
2018, 0.123777, 0.188154
2021, 0.115779, 0.215695
2024, 0.127077, 0.257218
2027, 0.157479, 0.261623
2030, 0.185725, 0.270903
2033, 0.195616, 0.270162
2036, 0.195067, 0.269127
2039, 0.198065, 0.257277
2042, 0.210562, 0.262893
2045, 0.212995, 0.252496
2048, 0.198202, 0.23623
2051, 0.167275, 0.197614
2054, 0.144566, 0.179267
2057, 0.135839, 0.145424
2060, 0.105293, 0.108631
2063, 0.0655605, 0.0749498
2066, 0.0580405, 0.0585969
2069, 0.048757, 0.0308993
2072, 0.031781, 0.0187198
2075, 0.0148481, 0.0155809
2078, 0.0142995, 0.0152713
2081, 0.0138684, 0.0123558
2084, 0.0134609, 0.0149382
2087, 0.0110587, 0.015044
2090, 0.00860164, 0.00822544
2093, 0.00517666, 0.011188
2096, 0.00883284, 0.0165332
2099, 0.0200757, 0.0276781
2102, 0.0386153, 0.0357272
2105, 0.0539219, 0.0501168
2108, 0.0705569, 0.0541021
2111, 0.0864317, 0.0837004
2114, 0.113788, 0.071807
2117, 0.136968, 0.0833986
2120, 0.157185, 0.105077
2123, 0.184142, 0.144366
2126, 0.19897, 0.170685
2129, 0.213669, 0.174529
2132, 0.230093, 0.194354
2135, 0.235975, 0.236206
2138, 0.244608, 0.211683
2141, 0.251814, 0.210331
2144, 0.246285, 0.208167
2147, 0.24498, 0.206827
2150, 0.246175, 0.221056
2153, 0.247002, 0.22202
2156, 0.255408, 0.226049
2159, 0.253057, 0.215946
2162, 0.242887, 0.204417
2165, 0.236202, 0.189992
2168, 0.217086, 0.187049
2171, 0.19562, 0.174082
2174, 0.179894, 0.157843
2177, 0.159262, 0.128123
2180, 0.128966, 0.111802
2183, 0.112452, 0.105567
